The paper  |  outputs  | control
The paper  |  outputs  | desired scales
The paper  |  outputs  | methods for mixing different styles at different scales , and generating high-resolution output with style at desired scales
The paper  |  outputs  | method
The paper  |  outputs  | stylisation
The paper  |  outputs  | different spatial scales
The paper  |  outputs  | method to control the stylisation independently on different spatial scales
The paper  |  solves  | gram matrices
The paper  |  solves  | different layers
The paper  |  solves  | cnn
The paper  |  solves  | gram matrices from different layers in the cnn
The paper  |  uses  | gram matrices
The paper  |  uses  | different layers
The paper  |  uses  | cnn
The paper  |  uses  | gram matrices from different layers in the cnn
The paper  |  outputs  | new style image
The paper  |  outputs  | ﬁne-scale information
The paper  |  outputs  | image
The paper  |  outputs  | coarse scale information
The paper  |  outputs  | new style image that combines ﬁne-scale information from one image with coarse scale information
The paper  |  uses  | new style image
The paper  |  uses  | neural style transfer
The paper  |  uses  | ﬁne-scale style image
The paper  |  uses  | coarse-scale style image
The paper  |  uses  | neural style transfer from the ﬁne-scale style image to the coarse-scale style image
The paper  |  outputs  | fast neural style transfer methods
The paper  |  uses  | colour control
The paper  |  uses  | fast neural style transfer methods
The paper  |  uses  | colour control described above to these fast neural style transfer methods
The paper  |  uses  | johnson
The paper  |  uses  | excellent publicly-available implementation
The paper  |  uses  | fast neural style transfer
The paper  |  uses  | johnson 's excellent publicly-available implementation of fast neural style transfer
The paper  |  uses  | well-tuned default parameters
The paper  |  uses  | implementation
The paper  |  uses  | instance normalization
The paper  |  uses  | ]
The paper  |  uses  | details
The paper  |  uses  | well-tuned default parameters in that implementation including instance normalization [ 24 ] ( for details
The paper  |  uses  | styles
The paper  |  uses  | implementation
The paper  |  uses  | styles published with that implementation
The paper  |  uses  | order
The paper  |  outputs  | high-resolution output
The paper  |  uses  | initialisation
The paper  |  uses  | neural style
The paper  |  uses  | content/style
The paper  |  uses  | initialisation for neural style ( a ) content/style
The paper  |  uses  | different styles
The paper  |  uses  | different regions
The paper  |  uses  | different styles to different regions
The paper  |  outputs  | feed-forward network
The paper  |  outputs  | different styles
The paper  |  outputs  | different regions
The paper  |  outputs  | feed-forward network to apply different styles to different regions
The paper  |  outputs  | feed-forward network
The paper  |  outputs  | different styles
The paper  |  outputs  | different regions
The paper  |  outputs  | feed-forward network to apply different styles to different regions
The paper  |  outputs  | style image
The paper  |  outputs  | candy
The paper  |  outputs  | feathers images
The paper  |  outputs  | candy and feathers images
The paper  |  uses  | feed-forward network
The paper  |  outputs  | algorithm
The paper  |  outputs  | fast spatially-varying stylisation
The paper  |  outputs  | algorithm that performs fast spatially-varying stylisation
The paper  |  outputs  | intuitive ways
The paper  |  outputs  | neural style transfer
The paper  |  outputs  | intuitive ways to control neural style transfer
The paper  |  outputs  | neural style transfer
The paper  |  outputs  | ways
The paper  |  outputs  | access
The paper  |  outputs  | factors
The paper  |  outputs  | style transfer
The paper  |  outputs  | slow versions
The paper  |  outputs  | ways to access these factors during style transfer , in both fast and slow versions
The paper  |  solves  | image style
The paper  |  solves  | factors
The paper  |  solves  | space
The paper  |  solves  | colour
The paper  |  solves  | scale
The paper  |  solves  | image style includes factors of space , colour , and scale
