The paper  |  outputs  | model-free algorithm
The paper  |  outputs  | copy of the actor and critic networks
The paper  |  uses  | target values
The paper  |  uses  | stability
The paper  |  uses  | normalization
The paper  |  uses  | case
The paper  |  uses  | exploration
The paper  |  uses  | evaluation
The paper  |  uses  | normalization during testing ( in our case , during exploration or evaluation
The paper  |  uses  | batch normalization
The paper  |  uses  | state input
The paper  |  uses  | layers
The paper  |  uses  | µ network
The paper  |  uses  | layers
The paper  |  uses  | q network
The paper  |  uses  | action input
The paper  |  uses  | batch normalization on the state input and all layers of the µ network and all layers of the q network prior to the action input
The paper  |  outputs  | exploration policy µ
The paper  |  outputs  | noise process n
The paper  |  outputs  | actor policy
The paper  |  outputs  | noise process n to our actor policy
The paper  |  uses  | ornstein-uhlenbeck process
The paper  |  uses  | exploration
The paper  |  uses  | exploration efﬁciency
The paper  |  uses  | physical control problems
The paper  |  uses  | inertia
The paper  |  uses  | ornstein-uhlenbeck process to generate temporally correlated exploration for exploration efﬁciency in physical control problems with inertia
The paper  |  uses  | exploration
The paper  |  uses  | exploration efﬁciency
The paper  |  uses  | physical control problems
The paper  |  uses  | inertia
The paper  |  uses  | exploration for exploration efﬁciency in physical control problems with inertia
The paper  |  outputs  | simulated physical environments
The paper  |  outputs  | levels
The paper  |  outputs  | difﬁculty
The paper  |  outputs  | algorithm
The paper  |  outputs  | simulated physical environments of varying levels of difﬁculty to test our algorithm
The paper  |  outputs  | algorithm
The paper  |  uses  | ddpg
The paper  |  uses  | estimates
The paper  |  uses  | ddpg 's estimates
The paper  |  uses  | values
The paper  |  uses  | q
The paper  |  uses  | true returns
The paper  |  uses  | values estimated by q after training with the true returns
The paper  |  uses  | identical network architecture
The paper  |  uses  | algorithm hyper-parameters
The paper  |  uses  | physics tasks
The paper  |  uses  | identical network architecture and learning algorithm hyper-parameters to the physics tasks
The paper  |  uses  | hyper-parameters
The paper  |  uses  | physics tasks
The paper  |  uses  | hyper-parameters to the physics tasks
The paper  |  solves  | ddpg
The paper  |  outputs  | approach
The paper  |  outputs  | high-dimensional observation spaces
The paper  |  outputs  | approach to large , high-dimensional observation spaces
The paper  |  outputs  | average
The paper  |  outputs  | runs
The paper  |  outputs  | average and best observed ( across 5 runs
The paper  |  outputs  | raw reward score
The paper  |  outputs  | dpg
The paper  |  outputs  | stochastic policies
The paper  |  outputs  | reparametrization trick
The paper  |  outputs  | heess et al.
The paper  |  outputs  | schulman
The paper  |  outputs  | al
The paper  |  outputs  | dpg are also applicable to stochastic policies by using the reparametrization trick ( heess et al. , 2015 schulman et al
The paper  |  solves  | steps
The paper  |  solves  | experience
The paper  |  solves  | steps of experience
The paper  |  uses  | good atari solutions
The paper  |  uses  | adam kingma
The paper  |  uses  | ba
The paper  |  uses  | neural network parameters
The paper  |  uses  | rate
The paper  |  uses  | actor
The paper  |  uses  | adam kingma & ba , 2014 ) for learning the neural network parameters with a learning rate of 10−4 and 10−3 for the actor
The paper  |  uses  | τ
The paper  |  uses  | convolutional layers
The paper  |  uses  | ﬁlters
The paper  |  uses  | layer
The paper  |  uses  | convolutional layers with 32 ﬁlters at each layer
The paper  |  uses  | replay buffer size
The paper  |  uses  | noise
The paper  |  uses  | order
The paper  |  uses  | noise in order
The paper  |  uses  | ornstein-uhlenbeck process
The paper  |  uses  | samples
The paper  |  uses  | simulated dynamics
The paper  |  uses  | linear expansion
The paper  |  uses  | dynamics
The paper  |  uses  | step
The paper  |  uses  | trajectory
The paper  |  uses  | quadratic expansion
The paper  |  uses  | cost function
The paper  |  uses  | samples of simulated dynamics to approximate a linear expansion of the dynamics around every step of the trajectory , as well as a quadratic expansion of the cost function
The paper  |  uses  | sequence
The paper  |  uses  | locally-linear-quadratic models
The paper  |  uses  | sequence of locally-linear-quadratic models
The paper  |  uses  | reward function
The paper  |  uses  | positive reward
The paper  |  uses  | step
The paper  |  uses  | velocity
The paper  |  uses  | car
The paper  |  uses  | reward function which provides a positive reward at each step for the velocity of the car
The paper  |  outputs  | positive reward
The paper  |  uses  | reward functions
The paper  |  uses  | feedback
The paper  |  uses  | step
The paper  |  uses  | reward functions which provide feedback at every step
The paper  |  outputs  | feedback
The paper  |  outputs  | reward
The paper  |  outputs  | distance
The paper  |  outputs  | goal state
The paper  |  outputs  | reward based on distance to a goal state
The paper  |  uses  | reward
The paper  |  uses  | negative reward
The paper  |  uses  | early termination
The paper  |  uses  | falls
The paper  |  uses  | simple threshholds
The paper  |  uses  | height
The paper  |  uses  | torso angle
The paper  |  uses  | case
The paper  |  uses  | walker2d
The paper  |  uses  | negative reward and early termination for falls which were determined by simple threshholds on the height and torso angle ( in the case of walker2d
