The paper  |  solves  | method
The paper  |  uses  | cid:48
The paper  |  uses  | h
The paper  |  uses  | cid:48
The paper  |  uses  | current width
The paper  |  uses  | height
The paper  |  uses  | bounding box
The paper  |  uses  | w
The paper  |  uses  | h
The paper  |  uses  | previous width
The paper  |  uses  | height
The paper  |  uses  | bounding box
The paper  |  uses  | size changes by w ( cid:48 ) = w · γw h ( cid:48 ) = h · γh ( 4 ) where w ( cid:48 ) and h ( cid:48 ) are the current width and height of the bounding box and w and h are the previous width and height of the bounding box
The paper  |  outputs  | l
The paper  |  outputs  | above
The paper  |  outputs  | figures
The paper  |  outputs  | examples
The paper  |  outputs  | l : above ( see figures 3 and 4 for examples
The paper  |  uses  | l
The paper  |  uses  | classiﬁcation tasks
The paper  |  uses  | l : in classiﬁcation tasks
The paper  |  uses  | video training example
The paper  |  outputs  | l
The paper  |  outputs  | section
The paper  |  outputs  | l : in section
The paper  |  outputs  | l
The paper  |  outputs  | above
The paper  |  outputs  | l : above
The paper  |  outputs  | motions
The paper  |  outputs  | sections
The paper  |  outputs  | motions '' ( see sections
The paper  |  uses  | k3
The paper  |  uses  | batch size
The paper  |  uses  | combination
The paper  |  uses  | videos
The paper  |  uses  | images
The paper  |  uses  | combination of videos and still images
The paper  |  uses  | training
The paper  |  uses  | entire training set
The paper  |  uses  | training
The paper  |  outputs  | tracker
The paper  |  outputs  | good robustness
The paper  |  outputs  | performs
The paper  |  outputs  | top
The paper  |  outputs  | accuracy
The paper  |  outputs  | tracker has good robustness and performs near the top in accuracy
The paper  |  outputs  | value
The paper  |  outputs  | oﬄine training
The paper  |  outputs  | performance
The paper  |  outputs  | value of oﬄine training for improving tracking performance
The paper  |  uses  | l
The paper  |  uses  | case
The paper  |  uses  | l : in each case
The paper  |  uses  | single feed
The paper  |  outputs  | l
The paper  |  outputs  | section
The paper  |  outputs  | l : in section
The paper  |  uses  | l
The paper  |  uses  | training
The paper  |  uses  | l : in our training
The paper  |  uses  | tracker
The paper  |  outputs  | tracker
The paper  |  outputs  | novel objects
The paper  |  outputs  | tracker can track novel objects
The paper  |  outputs  | generic object tracker oﬄine such
The paper  |  outputs  | performance improves
The paper  |  outputs  | more training videos
The paper  |  outputs  | generic object tracker oﬄine such that its performance improves by watching more training videos
The paper  |  uses  | crossvalidation
The paper  |  uses  | online
The paper  |  uses  | rate
The paper  |  uses  | crossvalidation to choose the online learning rate
The paper  |  uses  | online learning rate
The paper  |  outputs  | same performance demonstrating
The paper  |  outputs  | oﬄine training procedure
The paper  |  outputs  | network
The paper  |  outputs  | variety
The paper  |  outputs  | objects
The paper  |  outputs  | same performance demonstrating that our oﬄine training procedure has already taught the network how to track a variety of objects
The paper  |  outputs  | oﬄine training procedure
The paper  |  outputs  | network
The paper  |  outputs  | variety
The paper  |  outputs  | objects
The paper  |  outputs  | oﬄine training procedure has already taught the network how to track a variety of objects
The paper  |  outputs  | performance
The paper  |  uses  | l
The paper  |  uses  | training set
The paper  |  uses  | l : in the training set
The paper  |  outputs  | tracker
The paper  |  outputs  | novel objects
The paper  |  outputs  | tracker can generalize to novel objects
The paper  |  outputs  | same performance demonstrating
The paper  |  outputs  | oﬄine training procedure
The paper  |  outputs  | network
The paper  |  outputs  | variety
The paper  |  outputs  | objects
The paper  |  outputs  | same performance demonstrating that our oﬄine training procedure has already taught the network how to track a variety of objects
The paper  |  outputs  | oﬄine training procedure
The paper  |  outputs  | network
The paper  |  outputs  | variety
The paper  |  outputs  | objects
The paper  |  outputs  | oﬄine training procedure has already taught the network how to track a variety of objects
The paper  |  uses  | tracker
The paper  |  outputs  | random cropping
The paper  |  outputs  | idea
The paper  |  outputs  | small motions
The paper  |  outputs  | large motions
The paper  |  outputs  | random cropping to implicitly encode the idea that small motions are more likely than large motions
The paper  |  uses  | random
The paper  |  uses  | idea
The paper  |  uses  | small motions
The paper  |  uses  | large motions
The paper  |  uses  | random cropping to implicitly encode the idea that small motions are more likely than large motions
The paper  |  uses  | idea
The paper  |  uses  | small motions
The paper  |  uses  | large motions
The paper  |  uses  | idea that small motions are more likely than large motions
The paper  |  uses  | l
The paper  |  uses  | training set
The paper  |  uses  | l : in the training set
The paper  |  uses  | laplace distributions
The paper  |  uses  | random
The paper  |  uses  | procedure
The paper  |  uses  | laplace distributions for our random cropping procedure
The paper  |  uses  | validation
The paper  |  uses  | scale parameters
The paper  |  uses  | distributions
The paper  |  uses  | validation set to determine the scale parameters for the distributions
The paper  |  outputs  | batch
The paper  |  outputs  | training set
The paper  |  outputs  | batch of the training set
