The paper  |  outputs  | effectiveness
The paper  |  uses  | alignment weights
The paper  |  outputs  | rwth
The paper  |  outputs  | english-german europarl sentences
The paper  |  outputs  | rwth for 508 english-german europarl sentences
The paper  |  outputs  | local attention models
The paper  |  outputs  | aer scores comparable
The paper  |  outputs  | one-to-many alignments
The paper  |  outputs  | aer scores comparable to the one-to-many alignments
The paper  |  uses  | alignments
The paper  |  uses  | local attention models
The paper  |  uses  | lower aers
The paper  |  uses  | global one
The paper  |  uses  | alignments produced by local attention models achieve lower aers than those of the global one
The paper  |  outputs  | lower aers
The paper  |  outputs  | global one
The paper  |  outputs  | lower aers than those of the global one
The paper  |  uses  | doubly-negated phrase
The paper  |  uses  | doubly-negated phrase
The paper  |  solves  | effective attentional mechanisms
The paper  |  solves  | neural machine translation
The paper  |  solves  | effective attentional mechanisms for neural machine translation
The paper  |  uses  | techniques such
The paper  |  uses  | dropout
The paper  |  uses  | techniques such as dropout
The paper  |  outputs  | different attention models
The paper  |  outputs  | contrast
The paper  |  outputs  | different attention models in this contrast
The paper  |  outputs  | subset
The paper  |  outputs  | words
The paper  |  outputs  | time
The paper  |  outputs  | subset of words each time
