The paper  |  outputs  | deep neural network
The paper  |  outputs  | training of a pixelrnn with many lstm layers
The paper  |  outputs  | softmax layer
The paper  |  outputs  | discrete joint distribution
The paper  |  outputs  | colors
The paper  |  outputs  | masking technique
The paper  |  outputs  | softmax layer that computes the discrete joint distribution of the colors and the masking technique
The paper  |  outputs  | pixelcnn architecture
The paper  |  outputs  | multi-scale architecture
The paper  |  uses  | mask
The paper  |  uses  | inputto-state convolutions
The paper  |  uses  | convolutional layers
The paper  |  uses  | pixelrnn
The paper  |  uses  | mask to the inputto-state convolutions and to other purely convolutional layers in a pixelrnn
The paper  |  uses  | types
The paper  |  uses  | masks
The paper  |  uses  | mask
The paper  |  uses  | mask b
The paper  |  uses  | types of masks that we indicate with mask a and mask b
The paper  |  uses  | standard convolutional layers
The paper  |  uses  | bounded receptive ﬁeld
The paper  |  uses  | compute features
The paper  |  uses  | pixel positions
The paper  |  uses  | standard convolutional layers to capture a bounded receptive ﬁeld and compute features for all pixel positions
The paper  |  uses  | bounded receptive ﬁeld
The paper  |  uses  | features
The paper  |  uses  | pixel positions
The paper  |  uses  | features for all pixel positions
The paper  |  uses  | diagonal bilstm
The paper  |  uses  | layers
The paper  |  uses  | value
The paper  |  uses  | h =
The paper  |  uses  | section
The paper  |  uses  | figure
The paper  |  uses  | right
The paper  |  uses  | diagonal bilstm with 7 layers and a value of h = 16 ( section 3.3 and figure 5 right
The paper  |  uses  | residual connections
The paper  |  uses  | layer row
The paper  |  uses  | units
The paper  |  uses  | layer row with h = 512 units
The paper  |  outputs  | experiments
The paper  |  outputs  | results
The paper  |  outputs  | experiments and results
The paper  |  uses  | continuous distributions
The paper  |  uses  | density functions
The paper  |  uses  | values
The paper  |  uses  | discrete distribution
The paper  |  uses  | piecewiseuniform continuous
The paper  |  uses  | function
The paper  |  uses  | values from the discrete distribution as a piecewiseuniform continuous function
The paper  |  outputs  | negative log-likelihood
The paper  |  outputs  | nats
The paper  |  outputs  | negative log-likelihood in nats
The paper  |  outputs  | negative log-likelihoods
The paper  |  outputs  | bits
The paper  |  outputs  | dimension
The paper  |  outputs  | negative log-likelihoods in bits per dimension
The paper  |  uses  | smaller batch sizes
The paper  |  uses  | images
The paper  |  uses  | smaller batch sizes of 16 images
The paper  |  uses  | batch size
The paper  |  uses  | raw pixel color values
The paper  |  uses  | categories
The paper  |  uses  | raw pixel color values as categories
The paper  |  solves  | model natural
The paper  |  solves  | images
The paper  |  solves  | large scale
The paper  |  solves  | model natural images on a large scale
The paper  |  outputs  | performance
The paper  |  outputs  | diagonal bilstm model
The paper  |  outputs  | results
The paper  |  outputs  | performance of the diagonal bilstm model and that of previous published results
The paper  |  outputs  | novel two-dimensional lstm layers
The paper  |  uses  | softmax layer
The paper  |  uses  | conditional distributions
The paper  |  uses  | softmax layer in the conditional distributions
The paper  |  uses  | convolutions
The paper  |  uses  | pixelrnns
The paper  |  uses  | full dependencies
The paper  |  uses  | color channels
The paper  |  uses  | convolutions to allow pixelrnns to model full dependencies between the color channels
The paper  |  uses  | pixelrnns
The paper  |  uses  | full dependencies
The paper  |  uses  | color channels
The paper  |  uses  | pixelrnns to model full dependencies between the color channels
The paper  |  uses  | full dependencies
The paper  |  uses  | color channels
The paper  |  uses  | full dependencies between the color channels
The paper  |  outputs  | new benchmarks
The paper  |  outputs  | generative image
The paper  |  outputs  | imagenet dataset
The paper  |  outputs  | new benchmarks for generative image modeling on the imagenet dataset
The paper  |  uses  | long-range correlations
