The paper  |  solves  | automatic approach
The paper  |  uses  | temperature t = 0.38 , shown in the middle column of figure 4 , captures the vibrancy of the mode while maintaining the spatial coherence of the mean
The paper  |  outputs  | predicted distribution
The paper  |  outputs  | pixels
The paper  |  outputs  | predicted distribution over all pixels
The paper  |  outputs  | ﬁnal prediction
The paper  |  uses  | t
The paper  |  uses  | cnns
The paper  |  outputs  | vibrant results
The paper  |  outputs  | regression loss
The paper  |  outputs  | classiﬁcation loss
The paper  |  outputs  | vibrant results than a regression loss or a classiﬁcation loss
The paper  |  outputs  | algorithm
The paper  |  outputs  | baseline
The paper  |  outputs  | algorithm or a baseline
The paper  |  outputs  | ground truth colors
The paper  |  outputs  | higher results
The paper  |  outputs  | practical use
The paper  |  outputs  | algorithm
The paper  |  outputs  | practical use for our algorithm
The paper  |  outputs  | cumulative mass function
The paper  |  solves  | plausibility
The paper  |  outputs  | same score
The paper  |  uses  | full method
The paper  |  uses  | iterations
The paper  |  uses  | full method for 450k iterations
The paper  |  outputs  | higher performance
The paper  |  outputs  | object classiﬁcation
The paper  |  outputs  | segmentation tasks
The paper  |  outputs  | higher performance on object classiﬁcation and segmentation tasks
The paper  |  outputs  | object-level semantics
The paper  |  outputs  | semantic labels
The paper  |  outputs  | competitive performance
The paper  |  outputs  | strong performance
The paper  |  uses  | method
The paper  |  outputs  | state-of-the-art accuracy
The paper  |  uses  | r-cnn
The paper  |  outputs  | %
The paper  |  uses  | fcn architecture
The paper  |  outputs  | performance
The paper  |  outputs  | %
The paper  |  outputs  | al
The paper  |  outputs  | performance of 35.0 % , approximately equal to donahue et al
The paper  |  outputs  | good colorizations
The paper  |  outputs  | useful graphics output
The paper  |  uses  | colorization
The paper  |  uses  | pretext task
The paper  |  uses  | representation learning
The paper  |  uses  | colorization as a pretext task for representation learning
The paper  |  uses  | single channel input
The paper  |  uses  | vgg classiﬁer
The paper  |  uses  | semantic interpretability
The paper  |  uses  | colorization results
The paper  |  uses  | vgg classiﬁer to evaluate the semantic interpretability of our colorization results
The paper  |  uses  | semantic interpretability
The paper  |  uses  | colorization results
The paper  |  uses  | semantic interpretability of our colorization results
The paper  |  uses  | species
The paper  |  uses  | diﬀerent color patches
The paper  |  uses  | image
The paper  |  uses  | diﬀerent color patches in this image
The paper  |  outputs  | prediction
The paper  |  outputs  | respect
The paper  |  outputs  | low-level lightness
The paper  |  outputs  | contrast changes
The paper  |  outputs  | prediction is somewhat stable with respect to low-level lightness and contrast changes
The paper  |  uses  | chromatic aberration cues
The paper  |  outputs  | photos
The paper  |  outputs  | scene-centric sun dataset
The paper  |  outputs  | photos from the scene-centric sun dataset
The paper  |  outputs  | quantitative comparison
The paper  |  outputs  | method
The paper  |  outputs  | quantitative comparison of our method
The paper  |  uses  | same grayscale input
The paper  |  outputs  | qualitative comparisons
The paper  |  outputs  | test images
The paper  |  outputs  | ]
The paper  |  outputs  | website
The paper  |  outputs  | qualitative comparisons to the 23 test images in [ 1 ] on the website
The paper  |  outputs  | good colorizations
The paper  |  outputs  | plausible colorization
The Paper | outputs | photorealistic
The Paper | outputs | photos
The Paper | uses | entropy
The Paper | outputs | segmentation
The Paper | uses | fcn
The Paper | uses | channel
